Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Missouri,Place of death unknown,All ages,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,All places of death,All ages,2544,21369,2178,1046,54,3729,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,0-14 years,0,24,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,15-44 years,,351,14,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,45-64 years,41,1288,22,,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,65-74 years,30,1435,27,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,75-84 years,28,1415,48,,0,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,85 years and over,43,1343,61,12,0,92,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Decedent's home,All ages,151,5856,172,30,,297,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, dead on arrival",All ages,0,13,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",0-14 years,0,153,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",15-44 years,25,250,31,15,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",45-64 years,253,1242,256,129,13,393,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",65-74 years,360,1447,349,190,,524,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",75-84 years,494,1658,432,272,,658,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",85 years and over,398,1534,424,219,,611,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, inpatient",All ages,1530,6284,1493,825,37,2234,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",0-14 years,,36,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",15-44 years,,151,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",45-64 years,16,332,17,,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",65-74 years,11,279,,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",75-84 years,12,205,11,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",85 years and over,11,143,,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",All ages,60,1146,46,13,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,45-64 years,0,64,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,65-74 years,,109,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,75-84 years,,138,,0,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,85 years and over,13,193,13,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Hospice facility,All ages,16,510,31,,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,15-44 years,0,13,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,45-64 years,25,246,13,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,65-74 years,76,605,24,,0,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,75-84 years,163,1365,90,40,,215,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,85 years and over,402,3155,248,100,,555,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Nursing home/longterm care facility,All ages,666,5384,376,157,,892,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,15-44 years,,269,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,45-64 years,,235,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,65-74 years,10,204,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,75-84 years,29,419,13,,0,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,85 years and over,75,1040,37,,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Other,All ages,121,2176,60,15,,170,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Nebraska,Place of death unknown,All ages,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Region total,All places of death,All ages,21424,177304,17008,8687,496,30227,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,All places of death,All ages,5656,51760,4984,2785,142,7992,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,0-14 years,0,84,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,15-44 years,26,1705,35,,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,45-64 years,121,4056,116,24,12,225,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,65-74 years,109,3924,101,37,,178,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,75-84 years,127,4309,128,32,,228,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,85 years and over,160,4631,165,54,,276,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Decedent's home,All ages,543,18709,547,153,33,970,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",45-64 years,,23,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",65-74 years,0,11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",75-84 years,,,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",85 years and over,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, dead on arrival",All ages,,55,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",0-14 years,,313,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",15-44 years,68,954,96,39,,133,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",45-64 years,518,2799,587,352,33,786,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",65-74 years,719,3013,822,519,18,1039,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",75-84 years,855,2937,910,600,,1168,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",85 years and over,630,2317,646,432,,852,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, inpatient",All ages,2793,12333,3063,1942,73,3984,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",0-14 years,,62,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",15-44 years,,424,12,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",45-64 years,33,558,39,15,,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",65-74 years,23,401,22,13,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",75-84 years,28,341,27,12,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",85 years and over,,214,20,,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,"Healthcare setting, outpatient or emergency room",All ages,103,2000,121,49,,182,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,15-44 years,,103,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,45-64 years,,635,39,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,65-74 years,14,832,43,,0,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,75-84 years,44,1005,72,25,0,91,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,85 years and over,65,1249,82,34,,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Hospice facility,All ages,134,3826,241,71,,308,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,15-44 years,,28,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,45-64 years,60,472,24,14,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,65-74 years,233,1367,112,56,,290,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,75-84 years,546,3108,266,160,,655,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,85 years and over,1157,6698,524,317,17,1380,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Nursing home/longterm care facility,All ages,1997,11673,928,547,24,2400,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,0-14 years,0,27,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,15-44 years,,1093,15,0,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,45-64 years,18,916,21,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,65-74 years,14,389,13,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,75-84 years,18,323,15,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,85 years and over,25,398,17,,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Other,All ages,80,3146,82,22,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Colorado,Place of death unknown,All ages,0,18,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Montana,All places of death,All ages,1406,12918,1161,660,37,1944,
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,0-14 years,0,22,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,15-44 years,,261,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,45-64 years,24,909,15,,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,65-74 years,15,1066,14,,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,75-84 years,30,1151,25,,0,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,85 years and over,41,1104,32,,0,65,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Decedent's home,All ages,115,4513,88,23,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",45-64 years,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, dead on arrival",All ages,,16,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",0-14 years,0,44,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",15-44 years,21,186,26,14,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",45-64 years,143,734,132,91,,190,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",65-74 years,229,949,234,145,,323,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",75-84 years,247,1018,251,164,,338,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",85 years and over,183,814,190,101,,276,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, inpatient",All ages,823,3745,833,515,20,1161,
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",0-14 years,0,15,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",15-44 years,,64,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",45-64 years,13,131,,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",65-74 years,,105,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",75-84 years,,98,10,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",85 years and over,,49,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,"Healthcare setting, outpatient or emergency room",All ages,32,462,27,11,0,48,
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,45-64 years,,79,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,65-74 years,,88,10,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,75-84 years,,146,10,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,85 years and over,10,169,14,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Hospice facility,All ages,20,488,36,16,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,8,Montana,Nursing home/longterm care facility,15-44 years,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Nursing home/longterm care facility,45-64 years,16,136,,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,8,Montana,Nursing home/longterm care facility,65-74 years,43,326,19,,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
